	index	0
0	0 days 09:00:10	
1	0 days 09:00:20	0.008626702730476474
2	0 days 09:00:30	0.010546998762857578
3	0 days 09:00:40	0.012165556000650606
4	0 days 09:00:50	0.01411019155915475
5	0 days 09:01:00	0.015308400272838614
6	0 days 09:01:10	0.01671560246198726
7	0 days 09:01:20	0.01759934084850117
8	0 days 09:01:30	0.018257672867184365
9	0 days 09:01:40	0.0186117045626773
10	0 days 09:01:50	0.018819101139227398
11	0 days 09:02:00	0.01892098153814488
12	0 days 09:02:10	0.019315113190475165
13	0 days 09:02:20	0.019848645500330594
14	0 days 09:02:30	0.020431516306776625
15	0 days 09:02:40	0.020989253932215592
16	0 days 09:02:50	0.021451295755180153
17	0 days 09:03:00	0.021784743688132147
18	0 days 09:03:10	0.022044417150028684
19	0 days 09:03:20	0.0222145969896936
20	0 days 09:03:30	0.022375254579918163
21	0 days 09:03:40	0.02247672798457183
22	0 days 09:03:50	0.022542446980615055
23	0 days 09:04:00	0.022494525388789027
24	0 days 09:04:10	0.022475602658552273
25	0 days 09:04:20	0.022528950277842314
26	0 days 09:04:30	0.02268373086528747
27	0 days 09:04:40	0.022858663312164972
28	0 days 09:04:50	0.023162992678170295
29	0 days 09:05:00	0.023399872373686344
30	0 days 09:05:10	0.023653793040810275
31	0 days 09:05:20	0.023920588353570155
32	0 days 09:05:30	0.02409285628881525
33	0 days 09:05:40	0.02428777751494821
34	0 days 09:05:50	0.02439993173609248
35	0 days 09:06:00	0.02451796733387745
36	0 days 09:06:10	0.024614657389570915
37	0 days 09:06:20	0.024786379674573603
38	0 days 09:06:30	0.024961915045068676
39	0 days 09:06:40	0.02510900864497483
40	0 days 09:06:50	0.025276995559295395
41	0 days 09:07:00	0.025443745234103338
42	0 days 09:07:10	0.025608855345063217
43	0 days 09:07:20	0.025814769189490504
44	0 days 09:07:30	0.02605083995034947
45	0 days 09:07:40	0.026270755465743752
46	0 days 09:07:50	0.026458243229130648
47	0 days 09:08:00	0.026621418289396084
48	0 days 09:08:10	0.02681412318572398
49	0 days 09:08:20	0.02707066437915147
50	0 days 09:08:30	0.027250354484565788
51	0 days 09:08:40	0.027401333086093792
52	0 days 09:08:50	0.027507682394881897
53	0 days 09:09:00	0.027674424907946662
54	0 days 09:09:10	0.0279085237664943
55	0 days 09:09:20	0.028149255055195582
56	0 days 09:09:30	0.02839721314154337
57	0 days 09:09:40	0.02873962249565289
58	0 days 09:09:50	0.028970175399431853
59	0 days 09:10:00	0.029244028164242545
60	0 days 09:10:10	0.02947216640309291
61	0 days 09:10:20	0.02968910397349281
62	0 days 09:10:30	0.029864277542605164
63	0 days 09:10:40	0.030023209938647835
64	0 days 09:10:50	0.03017185231695492
65	0 days 09:11:00	0.030312200685970892
66	0 days 09:11:10	0.030446128859859967
67	0 days 09:11:20	0.03059300607251336
68	0 days 09:11:30	0.030729425781986813
69	0 days 09:11:40	0.030856891945864634
70	0 days 09:11:50	0.030981767492159095
71	0 days 09:12:00	0.031071528854484984
72	0 days 09:12:10	0.031173625457588675
73	0 days 09:12:20	0.03126277605653918
74	0 days 09:12:30	0.03137857001624566
75	0 days 09:12:40	0.0315069723601487
76	0 days 09:12:50	0.0316203443486436
77	0 days 09:13:00	0.03175956452761642
78	0 days 09:13:10	0.03187153188012093
79	0 days 09:13:20	0.03200296911829448
80	0 days 09:13:30	0.03211858433753404
81	0 days 09:13:40	0.032241815112045435
82	0 days 09:13:50	0.03233935290895482
83	0 days 09:14:00	0.03242992925494171
84	0 days 09:14:10	0.03254339982281091
85	0 days 09:14:20	0.032679268616386974
86	0 days 09:14:30	0.03279388658119205
87	0 days 09:14:40	0.03291025242301514
88	0 days 09:14:50	0.03303574632170305
89	0 days 09:15:00	0.033158858602387806
90	0 days 09:15:10	0.033223183821031836
91	0 days 09:15:20	0.03332648566402218
92	0 days 09:15:30	0.0334370465035745
93	0 days 09:15:40	0.033546068501084235
94	0 days 09:15:50	0.03366302717434109
95	0 days 09:16:00	0.03377654049532261
96	0 days 09:16:10	0.03388862532959745
97	0 days 09:16:20	0.03399917352121958
98	0 days 09:16:30	0.034097952991592226
99	0 days 09:16:40	0.034196660097736246
100	0 days 09:16:50	0.03429691166148636
101	0 days 09:17:00	0.03441162956414549
102	0 days 09:17:10	0.034514033672743284
103	0 days 09:17:20	0.03463536185925056
104	0 days 09:17:30	0.034740444363922755
105	0 days 09:17:40	0.03486426074150442
106	0 days 09:17:50	0.034964051284796537
107	0 days 09:18:00	0.035072862899220965
108	0 days 09:18:10	0.03518283860420645
109	0 days 09:18:20	0.0353121973421936
110	0 days 09:18:30	0.03541848537672775
111	0 days 09:18:40	0.03552206411289038
112	0 days 09:18:50	0.03561906194658124
113	0 days 09:19:00	0.03570683399838695
114	0 days 09:19:10	0.035815076943304804
115	0 days 09:19:20	0.03591506005811441
116	0 days 09:19:30	0.03599746302967326
117	0 days 09:19:40	0.03606484241733581
118	0 days 09:19:50	0.036114889474120025
119	0 days 09:20:00	0.03616374225855372
120	0 days 09:20:10	0.03624329593190544
121	0 days 09:20:20	0.036310304436917254
122	0 days 09:20:30	0.03635595385472975
123	0 days 09:20:40	0.036405884467845415
124	0 days 09:20:50	0.036453884363534556
125	0 days 09:21:00	0.03648736836349064
126	0 days 09:21:10	0.036530874855727626
127	0 days 09:21:20	0.036579885339236604
128	0 days 09:21:30	0.03663352503458039
129	0 days 09:21:40	0.03668196791638763
130	0 days 09:21:50	0.03672894108239248
131	0 days 09:22:00	0.036779754289022575
132	0 days 09:22:10	0.03684077432940765
133	0 days 09:22:20	0.03690543447516737
134	0 days 09:22:30	0.036964167386467774
135	0 days 09:22:40	0.037031990392660315
136	0 days 09:22:50	0.037088393651554974
137	0 days 09:23:00	0.037145351175666544
138	0 days 09:23:10	0.037203394404161774
139	0 days 09:23:20	0.03725394172376418
140	0 days 09:23:30	0.0373052705403712
141	0 days 09:23:40	0.03735491504336247
142	0 days 09:23:50	0.0374049034848899
143	0 days 09:24:00	0.037462457656145726
144	0 days 09:24:10	0.03753303827411272
145	0 days 09:24:20	0.037603909208834205
146	0 days 09:24:30	0.037688981009538415
147	0 days 09:24:40	0.037751052965434406
148	0 days 09:24:50	0.0378083115489591
149	0 days 09:25:00	0.03786650904271881
150	0 days 09:25:10	0.03793415249187558
151	0 days 09:25:20	0.038005819148057035
152	0 days 09:25:30	0.03808451552753351
153	0 days 09:25:40	0.038166666817567224
154	0 days 09:25:50	0.038253077812282765
155	0 days 09:26:00	0.038322050887671495
156	0 days 09:26:10	0.03839583375759298
157	0 days 09:26:20	0.038470278325909935
158	0 days 09:26:30	0.03852371668327125
159	0 days 09:26:40	0.038572637168596914
160	0 days 09:26:50	0.038610504965832605
161	0 days 09:27:00	0.038650565450301634
162	0 days 09:27:10	0.038698404002730766
163	0 days 09:27:20	0.03873842566485513
164	0 days 09:27:30	0.038777774748837486
165	0 days 09:27:40	0.038822235112337046
166	0 days 09:27:50	0.03886518319335265
167	0 days 09:28:00	0.03890198510850519
168	0 days 09:28:10	0.0389462524944932
169	0 days 09:28:20	0.0389892661193922
170	0 days 09:28:30	0.03902943615121185
171	0 days 09:28:40	0.03907472803139303
172	0 days 09:28:50	0.03911855014154177
173	0 days 09:29:00	0.03914941322349501
174	0 days 09:29:10	0.03917982174669297
175	0 days 09:29:20	0.03920010858481199
176	0 days 09:29:30	0.03921385800538069
177	0 days 09:29:40	0.03922702187798289
178	0 days 09:29:50	0.03923882208120438
179	0 days 09:30:00	0.03925354851507787
180	0 days 09:30:10	0.03926065885024153
181	0 days 09:30:20	0.03927185074708773
182	0 days 09:30:30	0.03928306842466371
183	0 days 09:30:40	0.03930140691264463
184	0 days 09:30:50	0.039326666428515095
185	0 days 09:31:00	0.039350712487565914
186	0 days 09:31:10	0.03937878998184925
187	0 days 09:31:20	0.03941013435762395
188	0 days 09:31:30	0.039447143854473496
189	0 days 09:31:40	0.039489039977294645
190	0 days 09:31:50	0.03952415962271311
191	0 days 09:32:00	0.039552949817263545
192	0 days 09:32:10	0.03957694144991472
193	0 days 09:32:20	0.03959953696667041
194	0 days 09:32:30	0.0396248704012835
195	0 days 09:32:40	0.0396552399204697
196	0 days 09:32:50	0.03969433920300386
197	0 days 09:33:00	0.03973699215353297
198	0 days 09:33:10	0.03978815836002867
199	0 days 09:33:20	0.03984689313343072
200	0 days 09:33:30	0.039890591862303246
201	0 days 09:33:40	0.03993173951480969
202	0 days 09:33:50	0.039976381123162555
203	0 days 09:34:00	0.04001940289418619
204	0 days 09:34:10	0.04006900461553374
205	0 days 09:34:20	0.04011546251298683
206	0 days 09:34:30	0.04016574677397937
207	0 days 09:34:40	0.040214069502604186
208	0 days 09:34:50	0.04026486097223489
209	0 days 09:35:00	0.04031129440633095
210	0 days 09:35:10	0.04035923853756615
211	0 days 09:35:20	0.040412594911619124
212	0 days 09:35:30	0.04046153974382402
213	0 days 09:35:40	0.040522570426268875
214	0 days 09:35:50	0.0405852696820918
215	0 days 09:36:00	0.04065196577769739
216	0 days 09:36:10	0.04071526627260871
217	0 days 09:36:20	0.040777181276865034
218	0 days 09:36:30	0.0408359549546075
219	0 days 09:36:40	0.04089266366404098
220	0 days 09:36:50	0.04093997583344262
221	0 days 09:37:00	0.040985300379738854
222	0 days 09:37:10	0.04102885625713391
223	0 days 09:37:20	0.04107289439323408
224	0 days 09:37:30	0.04111015169165385
225	0 days 09:37:40	0.041144450384181776
226	0 days 09:37:50	0.04117862871044153
227	0 days 09:38:00	0.04120895129804886
228	0 days 09:38:10	0.04124241164691847
229	0 days 09:38:20	0.04127589291412428
230	0 days 09:38:30	0.041326187057093254
231	0 days 09:38:40	0.04136692406289799
232	0 days 09:38:50	0.04140180424359596
233	0 days 09:39:00	0.04143313008752081
234	0 days 09:39:10	0.04146522734025111
235	0 days 09:39:20	0.04149767699703534
236	0 days 09:39:30	0.04153672473613487
237	0 days 09:39:40	0.04157304102517843
238	0 days 09:39:50	0.04160199222863196
239	0 days 09:40:00	0.041640494057503974
240	0 days 09:40:10	0.0416789338340413
241	0 days 09:40:20	0.04171638136571728
242	0 days 09:40:30	0.04175734870146747
243	0 days 09:40:40	0.041796043575467276
244	0 days 09:40:50	0.0418305265562874
245	0 days 09:41:00	0.041860378476556465
246	0 days 09:41:10	0.041877681557747605
247	0 days 09:41:20	0.04189607478288017
248	0 days 09:41:30	0.04192434092429396
