	0
090010	
090020	0.02009671904424895
090030	0.020944983921373526
090040	0.02154120795477688
090050	0.0223496501250351
090100	0.022965882153973185
090110	0.02238028738143194
090120	0.02160766861048974
090130	0.021289743443788967
090140	0.02191993993412769
090150	0.022224007460466575
090200	0.022078289729826995
090210	0.022341781752972103
090220	0.022844712963741087
090230	0.023143377414677823
090240	0.023340884852053257
090250	0.023509088618546285
090300	0.023595227059468708
090310	0.02379458528477631
090320	0.0242647941197961
090330	0.02475918711288584
090340	0.025389984665905765
090350	0.026249339809394878
090400	0.026964786028753972
090410	0.027592220661807026
090420	0.028265753778298607
090430	0.02904091790296402
090440	0.029544244564674978
090450	0.02993343938080984
090500	0.03037242008975119
090510	0.03098955024269083
090520	0.03157609537197308
090530	0.03209066361792197
090540	0.032459858808173696
090550	0.03291250047855727
090600	0.033385968112243834
090610	0.0338006129638194
090620	0.03414449615967906
090630	0.03456508413849407
090640	0.03518857589062468
090650	0.03576187356012648
090700	0.036279729045141484
090710	0.0368210745586477
090720	0.03739032777991948
090730	0.0379707643142126
090740	0.03847257779307893
090750	0.03888652708182461
090800	0.03928890610235006
090810	0.03961755969803222
090820	0.03989019366062494
090830	0.040209070366948554
090840	0.040557353450027915
090850	0.04093834516578178
090900	0.041420164472907
090910	0.04193124815991724
090920	0.042222610686258724
090930	0.04255572883331683
090940	0.042847780518034805
090950	0.043153547554269325
091000	0.04341150312163666
091010	0.04352588652947079
091020	0.043607682791939516
091030	0.043735473023970184
091040	0.0438932521549086
091050	0.044149594023212106
091100	0.044464167040611534
091110	0.04478422951175616
091120	0.04496452668698067
091130	0.045254675565531706
091140	0.04556549564905906
091150	0.04590234897059898
091200	0.04621001073324561
091210	0.046543600595564665
091220	0.04693326640052358
091230	0.04728743423266041
091240	0.04771147580264191
091250	0.04811373189884899
091300	0.048488517171867765
091310	0.04887602546196371
091320	0.04923188893881851
091330	0.049540265083680195
091340	0.049807521450341875
091350	0.05003978027421976
091400	0.05026991516704754
091410	0.050440319598576325
091420	0.050649950628284895
091430	0.05094765318624006
091440	0.051266664475357666
091450	0.05155471656584126
091500	0.051854389340257635
091510	0.05214261278455314
